Country Name;1962;1967;1972;1977;1982;1987;1992;1997;2002;2007;2012;2017
Gambia;5282;13403;14403;14580;14883;60597;2620;-4570;1517;-15436;-15436;-15436
Guinea Bissau;-20001;-7230;-14999;-79367;-30001;-28004;-29999;-41167;-27932;-17502;-7005;-6996
Equatorial Guinea;2998;5001;-70000;-29998;64999;20000;20002;35001;50003;80001;89999;79998
Greece;-256691;-187126;20771;297368;100241;178887;459178;297431;113586;-370769;-161799;-80000
Grenada;-9450;-9731;-11759;-13206;-586;-15189;-4210;-3964;-3511;-3526;-1000;-1000
Guatemala;-10311;-41269;-137529;-258519;-283074;-299909;-367469;-402326;-281050;-114231;-50131;-46073
Guam;-2905;-1442;-2131;-1511;109;99;1739;-4116;-9556;-9776;-7594;-2532
Guyana;-14669;-42559;-54362;-52341;-97340;-102648;-57867;-86647;-63249;-50078;-34999;-30001
Hong Kong SAR, China;-27385;71590;73970;390487;160605;221262;156486;375683;64797;89747;74892;146542
Honduras;-29002;-41000;-45999;-50999;-61998;-73998;-77999;-64998;-41999;-25000;-30000;-34000
Croatia;1854;-1225;-18403;18681;54369;26145;-143579;-188129;-2580;-10499;-38493;-40004
Haiti;-51997;-58003;-88000;-97999;-124999;-135001;-140001;-144998;-139999;-138004;-150000;-175000
Hungary;21715;15731;-24419;13040;-115800;-91554;99980;78562;61589;25150;29999;29999
Indonesia;449965;556062;508276;378743;475080;261282;-35412;-67671;-1149655;-1333685;-454447;-494777
India;-85391;-342846;2106041;1111236;579708;45150;-552948;-682569;-1888986;-2655844;-2350075;-2663434
Ireland;-105837;-57278;44335;51765;-60929;-125947;-15374;84879;201467;197285;-111819;118020
Iran;-7838;51755;77633;403319;2007670;1497228;-898423;-218350;-48444;-576900;-502345;-274998
Iraq;-1862;-6877;-8587;-47791;-199939;-647664;-154026;-17859;-266320;-1102117;1303607;39171
Iceland;-732;-2757;-1061;-3929;260;646;-1054;1020;2940;12007;-2163;1900
Israel;209496;72440;165879;62546;2604;65418;451557;245334;102935;273635;19497;50002
Italy;-230527;-231781;19396;164927;264799;-10058;152825;-298237;1664343;1050948;1637369;744713
Jamaica;-143938;-149741;-91034;-98483;-71084;-146934;-110068;-93279;-92045;-87319;-56658;-56658
Jordan;35715;255435;-29706;-80758;81657;170602;412472;-150149;-93910;649995;1056759;51099
Japan;-151351;822703;714937;205006;50002;-298339;46286;-100333;164199;277580;358133;357800
Kazakhastan;694120;173343;-128101;-435262;-433268;-674287;-1439396;-1261512;44530;-35196;159807;-90000
Kenya;-20000;-19535;-17915;-2930;3805;5023;221569;-21386;25144;-189330;-50000;-50000
